,jobtitle,jobdescription
296,IT Dev | Database | Level 2,"Role and Responsibilities:   The candidate will form part of a global team delivering functionality for the Financial Data Warehouse (FDW). The Financial Data Warehouse currently provides a sub ledger view of Brokerage's Sales and Trading activity and is critical in reporting the profit and loss of each and every trader, desk and business line. FDW is being expanded to be able to provide a full balance sheet view of the entire business with the goal of becoming the golden source and primary feed for Brokerage's general ledger and accounting functions. FDW is also being expanded to become the primary source of data for Brokerage's critical regulatory reporting. The candidate will be working with Teradata and many other technologies for developing data models and interfaces to fulfill the goals outlined above. The candidate will be someone who is comfortable working with big data and multiple different technologies to achieve the required flow of information and production of critical reports. Further the candidate will need to work effectively with remote teams as the role will require constant communication with the global development teams across New York, London, Montreal, Budapest and Mumbai. Skills Required:   Teradata SQL Good understanding of Service Oriented Architecture (SOA)- Good written and verbal communication skills Experience of full software development life cycle Ability to communicate with the business unit sponsors effectively Ability to coordinate with various teams to deliver projects successfully Working knowledge of agile development practices including Test Driven Development, continuous integration and SCRUM Skills Desired:   Perl Greenplum DB2 MPP Data Modelling Power Designer Knowledge of Financial reporting and accounting Princeton Information is one of the nation's top five privately-held IT consulting firms, in business since 1985. Princeton Information services a clientele of primarily Fortune 500 companies nationwide. With annual revenues over $120 million, Princeton Information operates across the US from multiple regional offices. Our Commitment to Our Consultants As a privately held company, Princeton Information is solely committed to the success of clients and consultants - not to any shareholders. PI's success is grounded in the relationships we build with our consultants. We seek the best people; provide career path counseling; as well as the most challenging opportunities in business and in IT. As part of its culture of loyalty and commitment to its consultants, Princeton Information is committed to doing all we can to ensure our consultants have the best possible search, placement and work experience possible. Our Services Working with one Princeton Recruiter will gain you access to over 500 open requirements with the top clients in the US across all industries (finance, insurance, pharmaceutical, commercial, telecom, media, manufacturing) nationwide. Our local recruiters have in-depth knowledge of our clients and opportunities. They will work with you to find you the best possible opportunities for you and your career. Our Relationships Our relationships with our clients, as well as our consultants, are critical to our success! We have a robust sales organization that ensures that Princeton has the inside track on what attributes a person needs in order to be successfully placed and engaged at our clients. We know the technical and non-technical skills that our clients are looking for and we ensure that you are educated about the client prior to your interview with them. Princeton is committed to going above and beyond to ensure that each meeting you have with a client is a successful one!"
297,Java Developer (Content Management),"Java Developer (Enterprise Content Management)JOB SUMMARYThe Software Developer is responsible for coding, testing and debugging new software or making enhancement to existing software. The Software Developer performs maintenance on existing moderately complex software products. This position also manages full software development lifecycle which includes requirements analysis, testing, implementation and auditing. ESSENTIAL Job Duties & ResponsibilitiesContribute collaboratively within a creative and fast-paced environment, designing innovative solutions that meet business objectives and are architecturally robust and scalableWork with business analysts to deliver common configurable solutionsDesign, develop, implement and maintain moderately complex software productsCode, debug and make recommendations on software enhancementsFormulate systems scope and objectivesParticipate in requirement gathering, definition and documentationAnalyze and resolve conceptual and moderately complex problems/situationsProvide support for impact assessment and testing of complex software products and for resolving production issuesCollaborate with analysts, developers and testers to ensure that team is working together to provide desired solutionProvide ad hoc assistance as neededSkills & ExperienceBachelor’s degree, appropriate combination of education and experience or equivalent work experience. Degree in computer science / information technology or equivalent engineering disciplines preferredMinimum 3-5 years of experience in software development using JavaHands-on experience in web application & RESTful web service development and using JavaEE or similar technologies / frameworksExperience with SQL programming. Experience with Hibernate or other object-relational mapping framework preferredAble to troubleshoot, performance tune and understand java memory utilization in developed codeFamiliar with XML, HTML, JavaScript, MavenFamiliar with continuous integration practiceUnit testing, automated testing and test-driven development experience a plusExperience of Agile software development preferredFull stack development with client- and server-side programming preferredCertification in java programming preferredMust be able to work independently and be able to work on problems of moderate scope where analysis of situations or data requires a review of a variety of factors.Enterprise Content Management experience (i.e. Ephesoft, Kofax, Documentum, Alfresco, FileNet, etc.) HIGHLY DESIRED"
298,Database Engineer,"Database Engineer - Oracle Description Database Engineer needed in the New York, NY office. This position will support the planning and migration of database from Client's Data Center to Amazon Web Services (public cloud). Duration is approximately 6 months plus. **We are looking for candidates who are Oracle Engineers or Architects with experience in AWS. Position Objective:   This position requires technical expertise to assist Client in the planning and migration of its business critical databases from its on-premise data center to Amazon Web Services. This position is recognized as a technical leader, possessing a broad understanding of the applications and technical architectures, including the inter-operability of technologies in the current and planned infrastructure. Because of the incumbent's exceptional breadth of knowledge of Client's databases and technical environments, or because of their unique technical capabilities, or both, this position significantly raises the ability of Client IT to add value to the business. Experience with Cloud technologies and infrastructure transformation is required. Education:   * BA/BS Degree or equivalent experience, preferably in Computer Science. Experience:   * Typically candidates in this role will possess 10+ years of relevant experience * 5-8 years experience in supporting large Oracle, SQL Server, and/or UDB environments on both Windows and Linux operating systems * 5-8 years experience in Amazon Web Services design and administration with expertise in EC2 and AWS simpler services * 1-3 years experience in automation and orchestration using utilities such as Puppet, Chef, or Cloud Foundry preferred * 1-3 years experience with 3rd part database utilities such as Idera, Foglight, Tripwire, and/or McAfee Database Activity Monitor preferred * 1-3 years experience working with compliance regulations in regards to privacy and/or financial data preferred. Activities:   Engineer Oracle, SQL Server, UDB and MongoDB environments and their add-on functions in accordance with best practices and Client policy. * Design highly available, scalable and resilient solutions to meet business requirements * Develop, monitor and maintain security controls aligned to Model Audit Rule, HIPAA regulations, SSAW-16 and Internal Audit * Integrate 3rd party solutions for configuration management, monitoring, provisioning and audit * Plan data migration between the Client data center and Amazon Web Services to minimize service disruption * Define / automate services through orchestration tools in conjunction with Architecture group Participate in Client's SDLC and Project Governance processes. Develop and automate solutions in support of DevOps methodologies. Provides technical mentoring to more junior team members and developers, raising the bar of technical expertise within the organization. Propose / develop new technical standards and develop migration plans to the future technology infrastructure. Ensures the transfer of their knowledge through documentation, on the job training, technical presentations and on-going technical coaching. Princeton Information is one of the nation's top five privately-held IT consulting firms, in business since 1985. Princeton Information services a clientele of primarily Fortune 500 companies nationwide. With annual revenues over $120 million, Princeton Information operates across the US from multiple regional offices. Our Commitment to Our Consultants As a privately held company, Princeton Information is solely committed to the success of clients and consultants - not to any shareholders. PI's success is grounded in the relationships we build with our consultants. We seek the best people; provide career path counseling; as well as the most challenging opportunities in business and in IT. As part of its culture of loyalty and commitment to its consultants, Princeton Information is committed to doing all we can to ensure our consultants have the best possible search, placement and work experience possible. Our Services Working with one Princeton Recruiter will gain you access to over 500 open requirements with the top clients in the US across all industries (finance, insurance, pharmaceutical, commercial, telecom, media, manufacturing) nationwide. Our local recruiters have in-depth knowledge of our clients and opportunities. They will work with you to find you the best possible opportunities for you and your career. Our Relationships Our relationships with our clients, as well as our consultants, are critical to our success! We have a robust sales organization that ensures that Princeton has the inside track on what attributes a person needs in order to be successfully placed and engaged at our clients. We know the technical and non-technical skills that our clients are looking for and we ensure that you are educated about the client prior to your interview with them. Princeton is committed to going above and beyond to ensure that each meeting you have with a client is a successful one!"
299,QA Test Automation Engineer,"Verys, recognized as one of Orange County's fastest growing software development firms, has an immediate need for a Software QA Test Automation Engineer in our Irvine office.  This role will work on an Agile Scrum team to test and deliver new web and mobile functionality.  The Software QA Test Automation Engineer will have the following responsibilities: THIS IS A DIRECT HIRE ROLE.  ONLY LOCAL CANDIDATES WILL BE CONSIDERED.  NO 3RD PARTIES OR RECRUITERS, PLEASE!Participate in automated testing efforts for new releases and ongoing application maintenanceParticipate in testing efforts for an Agile project team during 2 week iterationsDefine and document test strategy, test plans and test cases by evaluating functional and non-functional requirements of their user storiesManage the status of defects/changes and provide updates to the team on a daily basisAttend/conduct meetings with the IT team, vendor, business team, project program and other application teams to accomplish project goalsParticipate in demos to business unit for completed functionalitiesCreate weekly metrics/reports to capture test progress for projects and releasesHandle testing efforts for multiple projects/releases concurrentlyEvaluate and implement test automation in the iteration cycleIdentify and manage test cases for automationAdapt to the needs of the group to coordinate testing effortsFollowing skills are a must:2+ years of testing experience with at least one year of automated testingDay to day experience working in an Agile environment on an Agile team.Strong leadership skills, verbal and written communication skills, problem solving skills, and inter-personal skillsExtremely detail-oriented and organizedStrong at multi-tasking and prioritizing activities to meet the project needsRecent experience in creating test strategy, test plan and test cases for large projectsAbility to create and run test cases that cover a wide variety of scenarios such as functional, regression, endurance, integration, performanceGood at capturing and documenting necessary details for test casesAbility to learn the business logic quickly to interpret requirements and prioritize defectsHands on daily use of Selenium test automation software Demonstrated experience with responsive browser, mobile and SOAP testingBonus points for Java, HTML, CSS & Javascript experience"
300,Java Developer,"Software Guidance & Assistance, Inc., (SGA), is searching for a Java Developer for a right to hire assignment with one of our premier clients in Wilmington, DE. Required Skills : Expert Level Java, Strong understanding of fundamental web/internet technologies. Experience with SCRUM or similar agile SDLC methodologies. Test Driven Development, Web Application Development using ASI Framework, Web Service development, Agile Feature Driven Development Methodology. Validate functional design, create technical design, technical capability recommendations to help backlog prioritization Maintain the developer backlog, tracking developer worksheet progress, running auto code review, performing code reviews SGA is a Certified Women's Business Enterprise (WBE) celebrating over thirty years of service to our national client base for both permanent placement and consulting opportunities. For consulting positions, we offer a variety of benefit options including but not limited to health & dental insurance, paid vacation, timely payment via direct deposit. SGA accepts transfers of H1 sponsorship for most contracting roles. We are unable to sponsor for Right-to-Hire, Fulltime, or Government roles. All parties authorized to work in the US are encouraged to apply for all roles. Only those authorized to work for government entities will be considered for government roles. Please inquire about our referral program if you would like to submit a candidate for any of our open or future job opportunities. SGA is an EEO employer. We encourage Veterans to apply. To view all of our available job postings and/or to learn more about SGA please visit us online at www.sgainc.com ."
301,Pharmacy Tech (PD) - Walnut Creek Campus,"Job Summary: Pharmacy Technicians assist pharmacists in preparing and distributing medications, maintaining the drug inventory, and maintaining patient records. Pharmacy technicians work only under the supervision of a registered pharmacist and do not perform duties that can legally be performed only by a registered pharmacist.  Technicians interact with patients, family and other health care providers as appropriate and under strict accordance with standard, written procedures and guidelines. Essential Functions:  Drug distribution Procures and distributes medication orders per physician request, pharmacist request, or prearranged work assignment according to established policies, procedures, and protocols. Fills unit dose medication carts. Screens MAL labels and fills medication orders. Replenishes medications and replaces expired medications in emergency crash carts, heart boxes, rapid induction kits, anesthesia trays, and clot boxes. Delivers and exchanges medication carts. Fills stock requisitions and restocks automated dispensing machines while ensuring use before expiration date. Record keeping: Generates reports, pick lists, and labels as required. Checks and records refrigerator temperature. Accurately records drug usage and expiration dates Controlled substances processing Issues controlled substances to patient care areas and maintains controlled substance safe records required by law and pharmacy policies and procedures. Selects drugs accurately and performs inventory counts at each controlled substance transaction at the Storage system while reviewing discrepancy alerts and reconciles discrepancies IV drug admixture Prepares intravenous admixtures or other sterile products (including parenteral nutrition). Performs all functions in compliance with USP 797 standards Departmental Operations Participates in one on one training of new technician staff. Answers the telephone, identifying self and department. Directs calls to appropriate personnel. Adapts positively with changes in workload or schedule. Keeps pharmacy areas clean, neat, and well organized. Attends pharmacy staff meetings. Qualifications High School Diploma. Courses in mathematics, typing and general science preferred. Two years of college preferred, but not required. Graduate of an approved inpatient Certified Pharmacy Technician training program is highly preferred. Current technician registration with the California State Board of Pharmacy. Two years hospital inpatient pharmacy technician experience is desired. Work Schedule: Rotating shifts; including days, evenings, weekends, graveyard (3rd shift) and holidays. Fulltime commitment will be required during training period.  John Muir Health is a nationally recognized, not-for-profit health care organization. It includes John Muir Medical Center, Walnut Creek (554-bed acute care facility) , which serves as Contra Costa County's only designated trauma center and John Muir Medical Center, Concord (245-bed acute care facility).Together, they are recognized as top centers for neurosciences, orthopedics, cancer care, cardiovascular care and high-risk obstetrics. Other areas of specialty include general surgery, robotic surgery, weight-loss surgery, rehabilitation and critical care. John Muir Health also offers complete inpatient and outpatient behavioral health programs and services at our Behavioral Health Center (73-bed fully accredited psychiatric hospital) located in Concord. In addition, John Muir Health provides a number of primary care and outpatient services throughout the community and urgent care centers in Brentwood, Concord, San Ramon and Walnut Creek. John Muir Health is a collaborative, patient-centered health care environment; listening, explaining and working together as a team, to help patients achieve their optimal health. We recognize those who exemplify excellence, and reward them for contributing to our collective success. From individual to department to spontaneous recognition, Employee Suggestion Program rewards, Employee Success Sharing Program, and many more, we find unique ways to thank our employees for the outstanding efforts they make every day. Competitive salary and benefit package available. All hospitals are accredited by The Joint Commission, a national surveyor of quality patient care.  John Muir Health is an equal opportunity employer.      Department: Technical"
302,Lead Cloud Engineer,"Gunther Douglas’ global client is seeking a Lead Cloud Engineer for a direct hire or 3 month contract-to-hire opportunity located in Foster City, CA. The ideal candidate will have in-depth understanding coupled with experience in leading a team to build horizontally scalable services using J2EE stack, as well as experience in big data processors (Hadoop) and a strong programming background. Duties:-Lead all phases of development cycle with the ownership on end to end delivery and support while standing up in production-Evangelize best practices in architecture, design & clean code-Write server-side code for cloud services layers using J2EE stack, create robust high-volume, scalable applications, & build prototypes quickly-Conduct design reviews and ensure that the design/implementation is highly modular, portable and performance optimized-Lead design, solution architecture and eager to mentor team members Required Skills:-BS Computer Science or equivalent required-7+ years of overall development experience-2 + years of experience in leading the development of complex, high throughput, multi-tier, highly scalable and fault tolerant customer facing cloud layers using J2EE technology stack-4+ years of experience in building horizontally scalable RESTful services using J2EE technology stack and hands-on experience with NoSQL data stores such as Couchbase Desired Skills:-MS in Computer Science or equivalent-Cozy with messaging – RabbitMQ or Kafka-Breadth and depth of experience in search solutions with Lucene, Solr, SolrCloud, unstructured data mining, search query commands and real time data collections and processing-Heavy experience with the Hadoop ecosystem – HDFS, MapReduce, Pig, Hive, Hbase, Zookeeper etc.-Successfully applied scalable algorithms for click stream analysis to model user behavior and engagement-Competency in statistical modeling and inference-Experience in using predictive techniques on Mahout, such as logistic regression, Naive Bayes, SVM, and decision trees Please note: Background check and drug screen required."
303,Testing Sr. Analyst,"PwC/LOS Overview PwC is a network of firms committed to delivering quality in assurance, tax and advisory services. We help resolve complex issues for our clients and identify opportunities. Learn more about us at www.pwc.com/us. At PwC, we develop leaders at all levels. The distinctive leadership framework we call the PwC Professional (http://pwc.to/pwcpro) provides our people with a road map to grow their skills and build their careers. Our approach to ongoing development shapes employees into leaders, no matter the role or job title. Are you ready to build a career in a rapidly changing world? Developing as a PwC Professional means that you will be ready - to create and capture opportunities to advance your career and fulfill your potential. To learn more, visit us at www.pwc.com/careers. PwC Advisory helps our clients with their most challenging imperatives from strategy through execution. We combine the breadth of knowledge of over 48,000 global professionals with deep industry knowledge to deliver custom solutions for our clients. We work with the world's largest and most complex companies and understand the unique business issues and opportunities our clients face. Job Description PricewaterhouseCoopers is committed to a global sourcing strategy that leverages the strength of our worldwide network. Our Advisory Global Sourcing and Delivery (GSD) model is a set of capabilities resident outside our core US practice that supports us in performing client service activities anywhere in the world, where the appropriate mix of talent and knowledge is available at the best value. Working together with our client service engagement teams, we tailor a plan that combines the best resource and pricing options for a specific piece of work, based on the client business drivers, delivery requirements, and value factors. The Financial Services Delivery Center plays an integral role by supporting projects and PwC engagement teams across the US in delivering distinctive service to clients through standardization and optimization, increased flexibility, and enhanced quality. Position/Program Requirements Minimum Year(s) of Experience: 2 Minimum Degree Required: Bachelor's degree Knowledge Preferred: Demonstrates proven extensive knowledge of and success with leading Quality Assurance and Testing, QA/QT, based engagements, including the following areas: - Assessing and appraising the full lifecycle of a defined Testing Methodology, identifying and implementing recommendations to lead clients to a higher level of maturity and improve efficiencies, Managing Test Delivery engagements, including Development Integration Testing, Component/Feature Testing, System Integration Testing, SIT, User Acceptance Testing, UAT, and Production Acceptance Testing, PAT; - Managing technical teams and engagements around assessments, design and implementation, leveraging leading practice application and integration testing; - Evaluating end-to-end integrated systems and recommending action plans; - Providing testing recommendations, organizational designs and other process recommendations; - Leading strategic decision-making down to the project planning levels; and, - Developing and executing strategic business plans, requirements, and processes. Skills Preferred: Demonstrates proven extensive abilities and success with leading testing engagements and providing clients with a program, methodology, tools and templates to capture and classify their application portfolios, analyze functional redundancies, and assess performance considerations, which includes utilizing creative thinking and problem solving skills, individual initiative, and the following areas: - Identifying and addressing of client needs: building solid relationships with clients; developing an awareness of Firm services; communicating with the client in an organized and knowledgeable manner; delivering clear requests for information; demonstrating flexibility in prioritizing and completing tasks; and communicating potential conflicts; - Communicating in an organized, knowledgeable manner in written and verbal formats; - Conducting quantitative and qualitative analyses of large and complex data; - Identifying and addressing client needs while displaying abilities to contribute to business vision development and manage implementation efforts with complex project management capabilities; and, - Obtaining and leveraging various certifications-i.e., testing tools, Quality Center, et al, SDLC methodology certification, ITIL, et al., Project Management, PMP, Certification and/or utilizing skills involving conducting functional and/or system tests, developing and reviewing test plans and scripts.   Department: Information Technology"
304,"Big Data Solution Architect - Boston, MA or Minnetonka, MN","We are looking for a dynamic individual to join our team of Solution Architects in Optum Data Management in Minnetonka, MN. The Solution Architect will play a critical role in defining the future state data management capability (Data Fabric) being built on Big Data capabilities like Hadoop & NoSQL databases as well as by leveraging traditional DW technologies where applicable.   The candidate filling this role is expected to take the lead in gaining technical understanding of Big Data technologies and in particular gain working technical knowledge of managing massive volumes of data leveraging Hadoop, Spark and ElasticSearch. This role will be working hands on to develop proofs-of-concepts (POC) to identify viable options for implementing a particular data management need. This role will also pass on the learning to peers for knowledge sharing.   What does an SA in this team do: You work on enterprise wide solutions using Big Data. You build solutions to migrate projects from legacy technologies to  big data. You help build new solutions using big data technologies.   You build search solutions to enable access to data. You build API solutions to enable global access. You build solutions using machine learning. As with anything very new, there are many unturned stones, if you get one of those, you dig deeper and go hands on to find a solution. Your work with a large group of solutions architects that teach you what they know and learn from you what you know. If any of this interests you then join our group.   Primary Responsibilities: Architect solutions for key business initiatives ensuring alignment with future state analytics architecture vision Work closely with the project teams as outlined in the Agile methodology  providing guidance in implementing solutions at various stages of projects Roll up your sleeves and work with project teams to support project objectives through the application of sound architectural principles Develop and validate that the proposed solution architecture supports the stated & implied business requirements of the project Review technical team deliverables for compliance with architecture standards and guidelines Adopt innovative architectural approaches to leverage in-house data integration capabilities consistent with architectural goals of the enterprise Create architectural designs for different stakeholders that provide a conceptual definition of the information processing needs for the delivery project Required Qualifications: Minimum 10 years in the IT profession Minimum 2+ years of hands on experience with Data Management using Big Data Technologies   Preferred Qualifications:   Hands on Experience with Spark & ElasticSearch Experience with lead role in Java development Experience with Meta Data tools and techniques Experience with ELT tools such as Talend Minimum 5 years of experience creating Data Marts / DW architectures Experience delivering against long-term, strategic technology roadmaps Success leading multiple projects using the Agile methodology High accountability with a demonstrated ability to deliver Demonstrated ability to communicate clearly and concisely ideas (both verbally and in writing) to executives and technologists Relevant Bachelor's degree or equivalent experience Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make health care work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm)    Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity / Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.   UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.    Job Keywords: Hadoop, Architecture, data warehouse, Boston, Massachusetts, MA   Department: Information Technology"
305,"OKTA IDAM Consultant in Chicago, IL","Greetings, We have an urgent requirement of IDM OKTA Consultant with our direct client in Chicago, IL for a long term contract project. ***** Please share your updated resume in MS Word format along with contact details at manoj.kumar@first-tek.com ******  Here are the job details: Job Title:                          IDM OKTA ConsultantJob Locations:               Chicago, ILDuration:                        6-12 months  Job Description:===========================================Must Have Skills: Okta (Preferred), One Login, Ping Identity or similar solution.Key Experiences & Attributes: 5-7+ years of experience with identity management, IDAAS, provisioning, user lifecycle operations, federation, and on premise integrationsStrong analytical, development, implementation expertise.Experience in configuring High Availability solutions (e.g. load balancing, fail over, etc.)Experience with Enterprise Provisioning, Roles bases Access Controls, Single-Sign On, external and internal federation and systems integration, Compliance based Attestation and RecertificationExtensive knowledge/skills in architecting Access Management/SSO/Federation systems in a large, complex organizationExperience with Enterprise Directory/Directory Integration (ITDS, SDS, AD, LDAP)Robust knowledge of Web Access management processes, technologies, with emphasis on federation expertise, web services and SOAExperience with PKI TechnologyThorough understanding of SAML specification, digital signatures, certificates management and session managementStrong experience with common web access management domain related skills (e.g. understanding the concepts of cookies, sessions, header/cookie variables, HTTP traffic flow/analysis, etc.)Hands on experience with Linux/Unix operating systemFamiliarity with protocol level troubleshooting a plus (e.g. LDAP, TCP, etc.)Excellent written and verbal communication skills, including the ability to effectively translate and present technology solutions in business or management terms=========================================Regards, Manoj KumarSenior Executive- Talent Acquisition || First Tek, Inc.  (FSTONE Technologies)1551 S Washington Avenue, Suite 402 A, Piscataway, NJ 08854Contact: (732)328-2287 || E-mail: manoj.kumar@first-tek.comGoogle-Hangouts:  choudhary171984@gmail.com; Skype: manoj_usg"
306,Access & Identity Management (AIM) Analyst,"Overview:   The Access & Identity Management (AIM) Access Analyst is responsible for interfacing with First Republic Project Management, engineering, business unit and vendor staff to ensure applications are onboarding and de-boarded in accordance with Bank policies and standards. This includes role and user account creation/deletion, segregation of duties analysis and production support documentation. Analyzes and troubleshoots access-related issues and proactively updates procedure/process documentation and suggests and implements process improvements. Responsibilities:   * Experience in supporting and independently performing complex identity and access management analysis. * Demonstrated willingness to learn and cross-train co-workers. Understands industry best practices for access administration activities (i.e. provisioning, de-provisioning, access reviews, automation, etc.), authorization and authentication protocols and access governance. Understands Active Directory group structures, security, policies, etc. Good understanding of Role Based Access Control. * Experience in access role development and maintenance and defining application level roles/groups and permissions to ensure secure authentication and authorization mechanisims are aligned with policies, standards and as appropriate, best practices. * Familair with NTFS and share permissions, MS Exchange account management, MS SCCM, Linux access administration. Well versed with the following Access Management principles:   - Segregation of Duties analysis, access reviews and compliance, and privileged user management. * Provides technical leadership to the project and supporting engineering and development teams. * Provides escalation support for operations and support teams, including root cause analysis and preventative analysis. * Priortizes multiple competing priorities while delivering quality work products. * Maintains professional and productive working relationships. * Excellent verbal and written communications skills. * Understand application development lifecycle ensuring supportable solutions are employed and escalating, as appropriate, when policy or standads deviations may result in non-compliant or unsupportable solutions. * Support the design and implementation of access controls. * Provide sound advice and support ensuring on-time delivery of access related initiatives. * Participate in systems and application planning and implementation initiatives. * Maintains system documentation and protocols to ensure that additions and modifications are thoroughly documented and communicatd upon implementation. * Provide training to staff on new appliations and procedures. * Perform duties and responsibilities specific to department functions and activities. * Performs other duties and responsibilities as required or assigned by supervisor. * Responsibilities include the following: 1) adhering to and complying with all applicable, federal and state laws, regulations and guidance, including those related to Anti-Money Laundering (i.e. Bank Secrecy Act, USA PATRIOT Act, etc.), 2) adhering to Bank policies and procedures, 3) completing required training, 4) identifying and reporting potential suspicious activity to the BSA/AML Officer, and 5) knowing and verifying the identity of any customer(s) that enters into a relationship with the Bank. Critical features of this job are described under the items above. They may be subject to change at any time due to reasonable accommodation or other reasons. This job description reflects management's assignment of essential functions; it does not prescribe or restrict the tasks that may be assigned. Nothing in this job description restricts management's right to assign or reassign duties and responsibilities to this job at any time. Qualifications:   Experience/Skills Required:   * Bachelor of Science degree or equivalent work experience. * 5+ years experience in Identity and Access Management. * CISSP certification preferred. * Experience with Active Directory and the user administration functions of a wide variety of multi-user financial services applications. * Understanding of audit and compliance requirements applicable to the financial industry. * Ability to work in a fast-paced environment. * Outstanding interpersonal skills, including strong verbal and written communications. * Ability to effectively interact with individuals at all levels. * Consistently provides extraordinary customer service. * Furthers the First Republic Bank culture and values. Additional Duties and Responsibilities:   * Remains informed of job-related issues through networking, training programs, seminars and trade publications. * As directed by management, actively seeks technical feedback, advice and training from Engineering and Business Integration resources related to assigned projects or support issues. * Perform other duties when assigned. * Team player. * Provides extraordinary service. * Furthers the First Republic Bank culture and values.   Department: Information Services"
307,"Software Engineer, Hadoop","We may be the mostimportant Internet company you've never heard of. Join our team for your chanceto work in the digital marketing space and solve meaningful problems on amassive scale--and have fun doing it.The Hadoop Engineering Team at Conversant Media is responsible forproviding and maintaining Hadoop environments across the company. Theteam provides support for application tuning and profiling of clientapplications to ensure efficient use of cluster resources.As part of this team you will work with teams from across thecompany to provide application development support. This includes abilityto work with Spark, M/R, Hive and HBase. You will work with thedevelopment and Hadoop teams to profile and optimize the in house developedapplications.Responsibilities* Provide tuning support and analysis for client applications* Provide framework support for client teams with Spark,HBase, Hive* Drive best practices for developing application againstHadoop Clusters* Provide application tuning for Spark applications.Minimum Qualifications* BS in Computer Science or related technical discipline orequivalent practical experience.* 3 years experience in software engineering in a big dataenvironment.* Real world Hadoop experience* Real world experience with NoSQL solutions* Experience with version control systems such as Git orPerforce.* Solid computer science fundamentals such as complexityanalysis, data structures and software design.* Working knowledge of Unix/Linux.Preferred Qualifications* Experience in the Ad Industry space.* Experience with Distributed Systems outside of Hadoop.* 5 years of academic or industry experience (preferably at atech company.)http://engineering.conversantmedia.com/mgoodwi@conversantmedia.comLI*MGConditionsof EmploymentAlljob offers are contingent upon successful completion of certain backgroundchecks which unless prohibited by applicable law may include criminal historychecks, employment verification, education verification, drug screens, creditchecks, DMV checks (for driving positions only) and fingerprinting.AboutConversantConversant,Inc. is the leader in personalized digital marketing. Conversant helps theworld's biggest companies grow by creating personalized experiences thatdeliver higher returns for brands and greater satisfaction for people. We offera fully integrated personalization platform, personalized media programs andthe world's largest affiliate marketing network - all fueled by a deepunderstanding of what motivates people to engage, connect and buy. For moreinformation, please visit www.conversantmedia.com.GreatPeople, Deserve Great BenefitsWeknow that we have some of the brightest and most talented associates in theworld, and we believe in rewarding them accordingly. If you work here,expect competitive pay, comprehensive health coverage, and endlessopportunities to advance your career. From tuition reimbursement toscholarship programs to employee stock purchase plans and 401(k)s, we offerassociates a variety of benefits that work as hard for them as they work forus.AboutEpsilonEpsilonis the global leader in creating connections between people and brands. Anall-encompassing global marketing company, we harness the power of rich data,groundbreaking technologies, engaging creative and transformative ideas to getthe results our clients require. Recognized by Ad Age as the #1 WorldCRM/Direct Marketing Network and #1 U.S. Agency from All Disciplines, Epsilonemploys over 7,000 associates in more than 70 offices worldwide. Epsilon is anAlliance Data company. For more information, visit www.epsilon.com,follow us on Twitter @EpsilonMktg or call 1.800.309.0505.AllianceData is an Equal Employment Opportunity employerAllianceData participates in E-VerifyForSan Francisco Bay Area:AllianceData will consider for employment qualified applicants with criminal historiesin a manner consistent with the requirements of San Francisco Police CodeSections 4901 - 4919, commonly referred to as the San Francisco Fair ChanceOrdinance.  Department: Technology"
